stop_id,stop_name,stop_lat,stop_lon,stop_desc,location_type,location_accuracy,date_opened,date_opened_min,date_opened_max,date_precision,date_closed
n00107,"Node (43.418,-83.908)",43.417908,-83.908101,Railway network node (line endpoint / junction),0,1,18400101,,18400101,open_by_1840,
n00108,"Node (43.413,-83.906)",43.413209,-83.906003,Railway network node (line endpoint / junction),0,1,18400101,,18400101,open_by_1840,
n00109,"Node (41.398,-73.444)",41.39811,-73.444299,Railway network node (line endpoint / junction),0,1,18400101,,18400101,open_by_1840,
n00110,"Node (40.725,-73.704)",40.724908,-73.7045,Railway network node (line endpoint / junction),0,1,18400101,,18400101,open_by_1840,
n00111,"Node (40.741,-73.638)",40.740807,-73.638467,Railway network node (line endpoint / junction),0,1,18400101,,18400101,open_by_1840,
n00112,"Node (40.735,-73.889)",40.735306,-73.888605,Railway network node (line endpoint / junction),0,1,18400101,,18400101,open_by_1840,
n00113,"Node (40.706,-73.784)",40.70596,-73.783876,Railway network node (line endpoint / junction),0,1,18400101,,18400101,open_by_1840,
n00114,"Node (40.701,-73.804)",40.700509,-73.804498,Railway network node (line endpoint / junction),0,1,18400101,,18400101,open_by_1840,
n00115,"Node (40.698,-73.815)",40.697697,-73.815431,Railway network node (line endpoint / junction),0,1,18400101,,18400101,open_by_1840,
n00116,"Node (40.880,-74.533)",40.879712,-74.532762,Railway network node (line endpoint / junction),0,1,18400101,,18400101,open_by_1840,
n00117,"Node (40.884,-74.484)",40.883908,-74.484499,Railway network node (line endpoint / junction),0,1,18400101,,18400101,open_by_1840,
n00118,"Node (40.905,-74.601)",40.904908,-74.601404,Railway network node (line endpoint / junction),0,1,18400101,,18400101,open_by_1840,
n00119,"Node (40.898,-74.708)",40.89771,-74.707605,Railway network node (line endpoint / junction),0,1,18400101,,18400101,open_by_1840,
n00120,"Node (40.744,-74.125)",40.743718,-74.125078,Railway network node (line endpoint / junction),0,1,18400101,,18400101,open_by_1840,
n00121,"Node (40.743,-74.118)",40.743409,-74.117899,Railway network node (line endpoint / junction),0,1,18400101,,18400101,open_by_1840,
n00122,"Node (40.742,-74.148)",40.74191,-74.147905,Railway network node (line endpoint / junction),0,1,18400101,,18400101,open_by_1840,
n00123,"Node (40.755,-74.192)",40.754708,-74.192102,Railway network node (line endpoint / junction),0,1,18400101,,18400101,open_by_1840,
n00124,"Node (40.799,-74.476)",40.798909,-74.475801,Railway network node (line endpoint / junction),0,1,18400101,,18400101,open_by_1840,
n00125,"Node (40.718,-74.374)",40.718407,-74.373598,Railway network node (line endpoint / junction),0,1,18400101,,18400101,open_by_1840,
n00126,"Node (40.742,-74.086)",40.742207,-74.086099,Railway network node (line endpoint / junction),0,1,18400101,,18400101,open_by_1840,
n00127,"Node (40.729,-74.136)",40.729207,-74.136003,Railway network node (line endpoint / junction),0,1,18400101,,18400101,open_by_1840,
n00128,"Node (40.727,-74.139)",40.727208,-74.139299,Railway network node (line endpoint / junction),0,1,18400101,,18400101,open_by_1840,
n00129,"Node (40.712,-74.187)",40.712334,-74.186555,Railway network node (line endpoint / junction),0,1,18400101,,18400101,open_by_1840,
n00130,"Node (40.667,-74.216)",40.667172,-74.216066,Railway network node (line endpoint / junction),0,1,18400101,,18400101,open_by_1840,
n00131,"Node (40.688,-75.201)",40.687649,-75.201311,Railway network node (line endpoint / junction),0,1,18400101,,18400101,open_by_1840,
n00132,"Node (40.687,-75.202)",40.68749,-75.201914,Railway network node (line endpoint / junction),0,1,18400101,,18400101,open_by_1840,
n00133,"Node (40.657,-74.282)",40.657274,-74.28162,Railway network node (line endpoint / junction),0,1,18400101,,18400101,open_by_1840,
n00134,"Node (40.656,-74.294)",40.655672,-74.294079,Railway network node (line endpoint / junction),0,1,18400101,,18400101,open_by_1840,
n00135,"Node (40.560,-74.591)",40.560302,-74.591458,Railway network node (line endpoint / junction),0,1,18400101,,18400101,open_by_1840,
n00136,"Node (40.725,-74.132)",40.725407,-74.132402,Railway network node (line endpoint / junction),0,1,18400101,,18400101,open_by_1840,
n00137,"Node (40.711,-74.147)",40.711438,-74.147043,Railway network node (line endpoint / junction),0,1,18400101,,18400101,open_by_1840,
n00138,"Node (40.658,-74.184)",40.658322,-74.184206,Railway network node (line endpoint / junction),0,1,18400101,,18400101,open_by_1840,
n00139,"Node (40.640,-74.206)",40.639908,-74.206201,Railway network node (line endpoint / junction),0,1,18400101,,18400101,open_by_1840,
n00140,"Node (40.490,-74.454)",40.489705,-74.454355,Railway network node (line endpoint / junction),0,1,18400101,,18400101,open_by_1840,
n00141,"Node (40.382,-74.540)",40.382107,-74.540102,Railway network node (line endpoint / junction),0,1,18400101,,18400101,open_by_1840,
n00142,"Node (40.352,-74.448)",40.352307,-74.448183,Railway network node (line endpoint / junction),0,1,18400101,,18400101,open_by_1840,
